[2023-08-22 12:20:25,508]160numexpr.utils-INFO-NumExpr defaulting to 6 threads.
[2023-08-22 12:20:28,568]361flask_cors.core-WARNING-Unknown option passed to Flask-CORS: support_credentials
[2023-08-22 12:20:28,568]361flask_cors.core-WARNING-Unknown option passed to Flask-CORS: support_credentials
[2023-08-22 12:20:38,940]16chromadb.telemetry.posthog-INFO-Anonymized telemetry enabled. See https://docs.trychroma.com/telemetry for more information.
[2023-08-22 12:20:40,259]67openai-INFO-error_code=insufficient_quota error_message='You exceeded your current quota, please check your plan and billing details.' error_param=None error_type=insufficient_quota message='OpenAI API error received' stream_error=False
[2023-08-22 12:20:40,260]65langchain.embeddings.openai-WARNING-Retrying langchain.embeddings.openai.embed_with_retry.<locals>._embed_with_retry in 4.0 seconds as it raised RateLimitError: You exceeded your current quota, please check your plan and billing details..
[2023-08-22 12:20:44,723]67openai-INFO-error_code=insufficient_quota error_message='You exceeded your current quota, please check your plan and billing details.' error_param=None error_type=insufficient_quota message='OpenAI API error received' stream_error=False
[2023-08-22 12:20:44,723]65langchain.embeddings.openai-WARNING-Retrying langchain.embeddings.openai.embed_with_retry.<locals>._embed_with_retry in 4.0 seconds as it raised RateLimitError: You exceeded your current quota, please check your plan and billing details..
[2023-08-22 12:20:49,094]67openai-INFO-error_code=insufficient_quota error_message='You exceeded your current quota, please check your plan and billing details.' error_param=None error_type=insufficient_quota message='OpenAI API error received' stream_error=False
[2023-08-22 12:20:49,094]65langchain.embeddings.openai-WARNING-Retrying langchain.embeddings.openai.embed_with_retry.<locals>._embed_with_retry in 4.0 seconds as it raised RateLimitError: You exceeded your current quota, please check your plan and billing details..
[2023-08-22 12:20:53,689]67openai-INFO-error_code=insufficient_quota error_message='You exceeded your current quota, please check your plan and billing details.' error_param=None error_type=insufficient_quota message='OpenAI API error received' stream_error=False
[2023-08-22 12:20:53,689]65langchain.embeddings.openai-WARNING-Retrying langchain.embeddings.openai.embed_with_retry.<locals>._embed_with_retry in 8.0 seconds as it raised RateLimitError: You exceeded your current quota, please check your plan and billing details..
[2023-08-22 12:21:02,110]67openai-INFO-error_code=insufficient_quota error_message='You exceeded your current quota, please check your plan and billing details.' error_param=None error_type=insufficient_quota message='OpenAI API error received' stream_error=False
[2023-08-22 12:21:02,110]65langchain.embeddings.openai-WARNING-Retrying langchain.embeddings.openai.embed_with_retry.<locals>._embed_with_retry in 10.0 seconds as it raised RateLimitError: You exceeded your current quota, please check your plan and billing details..
[2023-08-22 12:21:12,458]67openai-INFO-error_code=insufficient_quota error_message='You exceeded your current quota, please check your plan and billing details.' error_param=None error_type=insufficient_quota message='OpenAI API error received' stream_error=False
